organisation,status_codes
pbl.spamhaus.org,"127.0.0.2,127.0.0.3,127.0.0.10,127.0.0.11,127.255.255.254"
sbl.spamhaus.org,"127.0.0.2,127.0.0.3,127.0.0.9"
sbl-xbl.spamhaus.org,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.9"
xbl.spamhaus.org,"127.0.0.2,127.0.0.4"
zen.spamhaus.org,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.9,127.0.0.10,127.0.0.11"
score.spfbl.net,"127.0.4.0,127.0.4.1,127.0.4.2,127.0.4.3,127.0.4.4,127.0.4.5,127.0.4.6,127.0.4.7,127.0.4.8,127.0.4.9,127.0.4.10,127.0.4.11,127.0.4.12,127.0.4.13,127.0.4.14,127.0.4.15,127.0.4.16,127.0.4.17,127.0.4.18,127.0.4.19,127.0.4.20,127.0.4.21,
127.0.4.22,127.0.4.23,127.0.4.24,127.0.4.25,127.0.4.26,127.0.4.27,127.0.4.28,127.0.4.29,127.0.4.30,127.0.4.31,127.0.4.32,127.0.4.33,127.0.4.34,127.0.4.35,127.0.4.36,127.0.4.37,127.0.4.38,127.0.4.39,127.0.4.40,127.0.4.41,127.0.4.42,
127.0.4.43,127.0.4.44,127.0.4.45,127.0.4.46,127.0.4.47,127.0.4.48,127.0.4.49,127.0.4.50,127.0.4.51,127.0.4.52,127.0.4.53,127.0.4.54,127.0.4.55,127.0.4.56,127.0.4.57,127.0.4.58,127.0.4.59,127.0.4.60,127.0.4.61,127.0.4.62,127.0.4.63,
127.0.4.64,127.0.4.65,127.0.4.66,127.0.4.67,127.0.4.68,127.0.4.69,127.0.4.70,127.0.4.71,127.0.4.72,127.0.4.73,127.0.4.74,127.0.4.75,127.0.4.76,127.0.4.77,127.0.4.78,127.0.4.79,127.0.4.80,127.0.4.81,127.0.4.82,127.0.4.83,127.0.4.84,
127.0.4.85,127.0.4.86,127.0.4.87,127.0.4.88,127.0.4.89,127.0.4.90,127.0.4.91,127.0.4.92,127.0.4.93,127.0.4.94,127.0.4.95,127.0.4.96,127.0.4.97,127.0.4.98,127.0.4.99,127.0.4.100"
all.spamrats.com,"127.0.0.2,127.0.0.36,127.0.0.37,127.0.0.38,127.0.0.43,127.0.0.50"
bl.nszones.com,"127.0.0.2"
sbl.nszones.com,"127.0.0.2"
ubl.nszones.com,"127.0.0.4"
bl.spamcop.net,"127.0.0.2"
all.ascc.dnsbl.bit.nl,"127.0.0.2"
bitonly.dnsbl.bit.nl,"127.0.0.2"
b.barracudacentral.org,"127.0.0.2"
bb.barracudacentral.org,"127.0.0.2"
dnsbl.sorbs.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.6,127.0.0.7,127.0.0.8,127.0.0.9,127.0.0.10,127.0.0.14,127.0.0.15"
problems.dnsbl.sorbs.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.6,127.0.0.7,127.0.0.8,127.0.0.9,127.0.0.15"
relays.dnsbl.sorbs.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5"
dul.dnsbl.sorbs.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.6,127.0.0.7,127.0.0.8,127.0.0.9,127.0.0.10,127.0.0.14"
spam.dnsbl.sorbs.net,"127.0.0.6"
zombie.dnsbl.sorbs.net,"127.0.0.2, 127.0.0.9"
bl.0spam.org,"127.0.0.1,127.0.0.2"
dbl.0spam.org,"127.0.0.1,127.0.0.2,127.0.0.32,127.0.0.16"
nbl.0spam.org,"127.0.0.1,127.0.0.2"
dnsbl-0.uceprotect.net,"127.0.0.2"
dnsbl-1.uceprotect.net,"127.0.0.2"
dnsbl-2.uceprotect.net,"127.0.0.2"
dnsbl-3.uceprotect.net,"127.0.0.2,127.0.85.65"
bl.score.senderscore.com,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.6,127.0.0.7,127.0.0.8,127.0.0.10,127.0.0.11,127.0.0.14,127.0.0.15,127.0.0.16,127.0.0.18,127.0.0.20,127.0.0.22,127.0.0.26"
score.senderscore.com,"127.0.4.0,127.0.4.1,127.0.4.2,127.0.4.3,127.0.4.4,127.0.4.5,127.0.4.6,127.0.4.7,127.0.4.8,127.0.4.9,127.0.4.10,127.0.4.11,127.0.4.12,127.0.4.13,127.0.4.14,127.0.4.15,127.0.4.16,127.0.4.17,127.0.4.18,127.0.4.19,127.0.4.20,127.0.4.21,
127.0.4.22,127.0.4.23,127.0.4.24,127.0.4.25,127.0.4.26,127.0.4.27,127.0.4.28,127.0.4.29,127.0.4.30,127.0.4.31,127.0.4.32,127.0.4.33,127.0.4.34,127.0.4.35,127.0.4.36,127.0.4.37,127.0.4.38,127.0.4.39,127.0.4.40,127.0.4.41,127.0.4.42,
127.0.4.43,127.0.4.44,127.0.4.45,127.0.4.46,127.0.4.47,127.0.4.48,127.0.4.49,127.0.4.50,127.0.4.51,127.0.4.52,127.0.4.53,127.0.4.54,127.0.4.55,127.0.4.56,127.0.4.57,127.0.4.58,127.0.4.59,127.0.4.60,127.0.4.61,127.0.4.62,127.0.4.63,
127.0.4.64,127.0.4.65,127.0.4.66,127.0.4.67,127.0.4.68,127.0.4.69,127.0.4.70,127.0.4.71,127.0.4.72,127.0.4.73,127.0.4.74,127.0.4.75,127.0.4.76,127.0.4.77,127.0.4.78,127.0.4.79,127.0.4.80,127.0.4.81,127.0.4.82,127.0.4.83,127.0.4.84,
127.0.4.85,127.0.4.86,127.0.4.87,127.0.4.88,127.0.4.89,127.0.4.90,127.0.4.91,127.0.4.92,127.0.4.93,127.0.4.94,127.0.4.95,127.0.4.96,127.0.4.97,127.0.4.98,127.0.4.99,127.0.4.100"
iprbl.mailcleaner.net,"127.0.0.2"
niprbl.mailcleaner.net,"127.0.4.2"
nuribl.mailcleaner.net,"127.0.0.2"
uribl.mailcleaner.net,"127.0.0.1,127.0.0.2"
multi.surbl.org,"127.0.0.2,127.0.0.4,127.0.0.8,127.0.0.16,127.0.0.32,127.0.0.64,127.0.0.128"
cbl.abuseat.org,"127.0.0.2"
rbl.abuse.ro,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.7,127.0.0.9,127.0.0.12,127.0.0.16,127.0.0.32"
uribl.abuse.ro,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.8,127.0.0.9"
spam.dnsbl.anonmails.de,"127.0.0.2"
ips.backscatterer.org,"127.0.0.2"
bl.blocklist.de,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.6,127.0.0.7,127.0.0.9,127.0.0.10,127.0.0.11,127.0.0.12,127.0.0.13,127.0.0.14,127.0.0.16,127.0.0.17,127.0.0.18,127.0.0.20,127.0.0.21,127.0.0.22"
dnsbl.calivent.com.pe,"127.0.0.2"
bogons.cymru.com,"127.0.0.2"
v4.fullbogons.cymru.com,"127.0.0.2"
bl.drmx.org,"127.0.0.2"
dnsbl.dronebl.org,"127.0.0.2,127.0.0.3,127.0.0.6,127.0.0.7,127.0.0.8,127.0.0.9,127.0.0.10,127.0.0.11,127.0.0.12,127.0.0.13,127.0.0.15,127.0.0.16,127.0.0.17,127.0.0.18,127.0.0.19,127.0.0.255"
spamsources.fabel.dk,"127.0.0.2"
accredit.habeas.com,"127.0.0.30,127.0.0.50"
sohul.habeas.com,"127.0.0.30,127.0.0.50"
hostkarma.junkemailfilter.com,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.1.1,127.0.1.2,127.0.1.3,127.0.1.4,127.0.2.1,127.0.2.2,127.0.2.3"
black.junkemailfilter.com,"127.0.0.2"
forbidden.icm.edu.pl,"127.0.0.50"
spamrbl.imp.ch,"127.0.0.5,127.0.0.8"
wormrbl.imp.ch,"127.0.0.5"
rbl.interserver.net,"127.0.0.2"
mail-abuse.blacklist.jippg.org,"127.0.0.2"
dnsbl.kempt.net,"127.0.0.2"
spamguard.leadmon.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.6,127.0.0.7,127.0.0.8,127.0.0.9"
bl.mailspike.net,"127.0.0.2,127.0.0.10,127.0.0.11,127.0.0.12,127.0.0.13,127.0.0.17,127.0.0.18"
rep.mailspike.net,"127.0.0.10,127.0.0.11,127.0.0.12,127.0.0.13,127.0.0.14"
z.mailspike.net,"127.0.0.2"
ix.dnsbl.manitu.net,"127.0.0.2"
dbl.nordspam.com,"127.0.0.2"
bl.nordspam.com,"127.0.0.2"
bl.nosolicitado.org,"127.0.0.2"
bl.worst.nosolicitado.org,"127.0.0.2"
orvedb.aupads.org,"127.0.0.2,127.0.0.3,127.0.0.4"
rsbl.aupads.org,"127.0.0.2,127.0.0.3,127.0.0.4"
psbl.surriel.com,"127.0.0.2"
all.s5h.net,"127.0.0.2"
rbl.schulte.org,"127.0.0.2"
backscatter.spameatingmonkey.net,"127.0.0.2"
bl.spameatingmonkey.net,"127.0.0.2"
uribl.spameatingmonkey.net,"127.0.0.2"
korea.services.net,"127.0.0.2"
bl.spamcop.net,"127.0.0.2"
netblockbl.spamgrouper.to,"127.0.0.2"
bl.suomispam.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5"
dbl.suomispam.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.9,127.0.1.2"
gl.suomispam.net,"127.0.0.2,127.0.1.2"
dnsrbl.swinog.ch,"127.0.0.2,127.0.0.3,127.0.0.9,127.0.0.10,127.0.0.11,127.0.1.8"
truncate.gbudb.net,"127.0.0.2"
blacklist.woody.ch,"127.0.0.6,127.0.0.8,127.0.0.10,127.0.0.11"
uri.blacklist.woody.ch,"127.0.0.7,127.0.0.9,127.0.0.10,127.0.0.11,127.0.1.8"
dnsbl.zapbl.net,"127.0.0.2"
rhsbl.zapbl.net,"127.0.0.2"
abuse.spfbl.net,"127.0.0.2,127.0.0.3"
dnsbl.spfbl.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5"
